k,t_ms,ADC,Volt_V,Error,U_MPC,PWM,t_MPC_ms,Deadline_Miss,Anomaly
1,10,2120,1.7084,919,-95,76,0.667,0,1
2,20,2106,1.6971,933,-95,76,0.734,0,1
3,30,2145,1.7286,894,5,76,1.044,0,1
4,40,2150,1.7326,889,5,76,0.853,0,1
5,50,2136,1.7213,903,5,76,0.74,0,1
6,60,2169,1.7479,870,5,76,0.719,0,1
7,70,2179,1.756,860,5,76,0.852,0,1
8,80,2173,1.7511,866,5,76,9.709,1,1
9,90,2210,1.781,829,5,76,0.854,0,1
10,100,2190,1.7648,849,5,76,1.174,0,1
11,110,2193,1.7673,846,5,76,0.828,0,1
12,120,2221,1.7898,818,5,76,0.962,0,1
13,130,2255,1.8172,784,5,76,0.876,0,1
14,140,2279,1.8366,760,5,76,0.827,0,1
15,150,2284,1.8406,755,5,76,0.977,0,1
16,160,2265,1.8253,774,5,76,0.946,0,1
17,170,2254,1.8164,785,5,76,0.997,0,1
18,180,2268,1.8277,771,5,76,1.113,0,1
19,190,2298,1.8519,741,5,76,0.767,0,1
20,200,2308,1.8599,731,5,76,0.698,0,1
21,210,2337,1.8833,702,5,76,0.76,0,1
22,220,2347,1.8914,692,5,76,0.643,0,1
23,230,2351,1.8946,688,5,76,1.037,0,1
24,240,2352,1.8954,687,5,76,0.762,0,1
25,250,2383,1.9204,656,5,76,0.934,0,1
26,260,2402,1.9357,637,5,76,1.061,0,1
27,270,2412,1.9437,627,5,76,0.619,0,1
28,280,2388,1.9244,651,5,76,0.64,0,1
29,290,2418,1.9486,621,5,76,1.126,0,1
30,300,2433,1.9607,606,5,76,0.9,0,1
31,310,2444,1.9695,595,5,76,0.875,0,1
32,320,2429,1.9574,610,5,76,1.047,0,1
33,330,2472,1.9921,567,5,76,0.951,0,1
34,340,2460,1.9824,579,5,76,0.817,0,1
35,350,2454,1.9776,585,5,76,0.906,0,1
36,360,2460,1.9824,579,5,76,1.117,0,1
37,370,2478,1.9969,561,5,76,1.075,0,1
38,380,2482,2.0001,557,5,76,0.831,0,1
39,390,2518,2.0292,521,5,76,0.917,0,1
40,400,2555,2.059,484,5,76,1.165,0,1
41,410,2518,2.0292,521,5,76,1.009,0,1
42,420,2538,2.0453,501,5,76,1.061,0,1
43,430,2550,2.0549,489,5,76,0.861,0,1
44,440,2589,2.0864,450,5,76,1.126,0,1
45,450,2586,2.084,453,5,76,1.057,0,1
46,460,2570,2.0711,469,5,76,1.122,0,1
47,470,2615,2.1073,424,5,76,0.905,0,1
48,480,2609,2.1025,430,5,76,1.058,0,1
49,490,2646,2.1323,393,5,0,1.153,0,0
50,500,2646,2.1323,393,5,0,0.794,0,0
51,510,2686,2.1645,353,5,0,0.818,0,0
52,520,2684,2.1629,355,5,0,0.785,0,0
53,530,2694,2.171,345,5,0,0.94,0,0
54,540,2689,2.167,350,5,0,0.892,0,0
55,550,2697,2.1734,342,5,0,0.92,0,0
56,560,2698,2.1742,341,5,0,0.885,0,0
57,570,2680,2.1597,359,5,0,0.917,0,0
58,580,2686,2.1645,353,5,0,1.157,0,0
59,590,2728,2.1984,311,5,0,0.721,0,0
60,600,2738,2.2064,301,5,0,0.99,0,0
61,610,2743,2.2105,296,5,0,0.871,0,0
62,620,2728,2.1984,311,5,0,0.803,0,0
63,630,2752,2.2177,287,5,0,9.562,1,0
64,640,2755,2.2201,284,5,0,0.737,0,0
65,650,2820,2.2725,219,5,0,0.798,0,0
66,660,2794,2.2516,245,5,0,1.001,0,0
67,670,2795,2.2524,244,5,0,1.034,0,0
68,680,2831,2.2814,208,5,0,0.884,0,0
69,690,2852,2.2983,187,5,0,0.844,0,0
70,700,2847,2.2943,192,5,0,0.859,0,0
71,710,2837,2.2862,202,5,0,1.118,0,0
72,720,2850,2.2967,189,5,0,1.19,0,0
73,730,2834,2.2838,205,5,0,1.037,0,0
74,740,2815,2.2685,224,5,0,0.749,0,0
75,750,2837,2.2862,202,5,0,0.684,0,0
76,760,2839,2.2878,200,5,0,0.75,0,0
77,770,2840,2.2886,199,5,0,1.085,0,0
78,780,2822,2.2741,217,5,0,0.63,0,0
79,790,2874,2.316,165,5,0,0.609,0,0
80,800,2875,2.3168,164,5,0,1.109,0,0
81,810,2866,2.3096,173,5,0,0.889,0,0
82,820,2902,2.3386,137,5,0,0.635,0,0
83,830,2879,2.3201,160,5,0,0.759,0,0
84,840,2894,2.3322,145,5,0,0.771,0,0
85,850,2921,2.3539,118,5,0,1.197,0,0
86,860,2930,2.3612,109,5,0,0.892,0,0
87,870,2906,2.3418,133,5,0,1.181,0,0
88,880,2933,2.3636,106,5,0,0.637,0,0
89,890,2907,2.3426,132,5,0,0.951,0,0
90,900,2961,2.3862,78,5,0,0.919,0,0
91,910,2940,2.3692,99,5,0,0.648,0,0
92,920,2945,2.3733,94,5,0,0.641,0,0
93,930,2930,2.3612,109,5,0,0.672,0,0
94,940,2918,2.3515,121,5,0,0.947,0,0
95,950,2905,2.341,134,5,0,0.852,0,0
96,960,2931,2.362,108,5,0,0.79,0,0
97,970,2938,2.3676,101,5,0,1.03,0,0
98,980,2920,2.3531,119,5,0,0.679,0,0
99,990,2926,2.3579,113,5,0,0.79,0,0
100,1000,2903,2.3394,136,5,0,0.606,0,0
101,1010,2940,2.3692,99,5,0,1.198,0,0
102,1020,2923,2.3555,116,5,0,0.904,0,0
103,1030,2939,2.3684,100,5,0,1.129,0,0
104,1040,2948,2.3757,91,5,0,0.771,0,0
105,1050,2967,2.391,72,5,0,1.022,0,0
106,1060,2992,2.4111,47,5,0,9.726,1,0
107,1070,2968,2.3918,71,5,0,1.159,0,0
108,1080,3011,2.4264,28,5,0,0.681,0,0
109,1090,2965,2.3894,74,5,0,1.045,0,0
